R_Type,#,Barcodes,Location,Row,Column,Original Name,compound_name,core_common_name,substituents,conjugation,side_chain_group,salt,SMILES_unsalted,core_alkene,mw_g_mol,formula,state,concentration_mM
BA,204,R-Y7Z7AG,UCFBA,4,6,ursocholic acid,UCA,UCA,3a_7b_12a,NA,carboxylic_acid,NA,,NA,,,,
BA,210,R-9YAUXR,UCFBA,5,2,ursocholic acid 3a OH 7b OH 12a OH,UCA,UCA,3a_7b_12a,NA,carboxylic_acid,NA,,NA,,,,
BA,219,R-NPENVT,UCFBA,6,1,3a 7b 12a diamalt,UCA,UCA,3a_7b_12a,NA,carboxylic_acid,NA,,NA,,,,
BA,221,R-7CDW3K,UCFBA,6,3,3a 7b 12a diamalt,UCA,UCA,3a_7b_12a,NA,carboxylic_acid,NA,,NA,,,,
BA,259,R-BQH8ND,UCFBA,10,1,Ursocholate Na+ salt,UCA,UCA,3a_7b_12a,NA,carboxylic_acid,Sodium,,NA,,,,
BA,264,R-J753G2,UCFBA,10,6,ursocholic acid 3a 7b 12a tri-OH,UCA,UCA,3a_7b_12a,NA,carboxylic_acid,NA,,NA,,,,
BA,267,R-PPMQZK,UCFBA,10,9,ursocholic acid,UCA,UCA,3a_7b_12a,NA,carboxylic_acid,NA,,NA,,,,
BA,526,R-3P2XQY,MUnCBA,3,3,Ursocholic Acid (~95% pure),UCA,UCA,3a_7b_12a,NA,carboxylic_acid,NA,,NA,,,,
BA,550,R-9YMW89,MUnCBA,5,6,"Ursocholic Acid (3a,7b,12a-trihydroxy-5b-cholan-24-oic acid)",UCA,UCA,3a_7b_12a,NA,carboxylic_acid,NA,,NA,,,,
BA,175,R-9EJQ3E,UCFBA,1,7,UrsoDC 3a7b,UDCA,UDCA,3a_7b,NA,carboxylic_acid,NA,,NA,,,,
BA,192,R-9RUJ8K,UCFBA,3,4,Na+ ursodeoxycholate 3a OH 7b OH Na+,UDCA,UDCA,3a_7b,NA,carboxylic_acid,Sodium,,NA,,,,
BA,456,R-RSC424,UnCBA,5,6,3a 7b,UDCA,UDCA,3a_7b,NA,carboxylic_acid,NA,,NA,,,,
BA,509,R-45UZNF,MUnCBA,1,6,Ursodeoxycholic Acid,UDCA,UDCA,3a_7b,NA,carboxylic_acid,NA,,NA,,,,
BA,510,R-B94GUT,MUnCBA,1,7,Ursodeoxycholic Acid,UDCA,UDCA,3a_7b,NA,carboxylic_acid,NA,,NA,,,,
BA,511,R-CKQ9KK,MUnCBA,1,8,Ursodeoxycholic Acid (diamalt),UDCA,UDCA,3a_7b,NA,carboxylic_acid,NA,,NA,,,,
BA,512,R-DQZFH5,MUnCBA,1,9,Ursodeoxycholic Acid,UDCA,UDCA,3a_7b,NA,carboxylic_acid,NA,,NA,,,,
BA,513,R-ERC7R8,MUnCBA,1,10,"Ursodeoxycholic Acid (pure, diamalt)",UDCA,UDCA,3a_7b,NA,carboxylic_acid,NA,,NA,,,,
BA,516,R-KJ4GFS,MUnCBA,2,3,"Ursodeoxycholic Acid (3aOH, 7bOH) details unknown",UDCA,UDCA,3a_7b,NA,carboxylic_acid,NA,,NA,,,,
BA,804,r-y2dt75,SHLFR,3,NA,Ursodeoxycholic acid (>99%),UDCA,UDCA,3a_7b,NA,carboxylic_acid,NA,,NA,,,,
BA,514,R-GHAR6P,MUnCBA,2,1,Ursodeoxycholic Acid (24- 13C),UDCA (C24 = 13C),UDCA,3a_7b,NA,carboxylic_acid,NA,,NA,,,,
BA,515,R-HVMR8Y,MUnCBA,2,2,Ursodeoxycholic Acid (24- 13C),UDCA (C24 = 13C),UDCA,3a_7b,NA,carboxylic_acid,NA,,NA,,,,
BA,281,R-CXQG5D,BADer,2,3,Ursodeoxy-cholyl Fluorescein ,UDCamF,UDCA,3a_7b,amF,fluoresceine,NA,O=C1OC2(C3=C(OC4=C2C=CC(O)=C4)C=C(O)C=C3)C5=C1C(NC(CC[C@@H](C)[C@H]6CC[C@@]7([H])[C@]8([H])[C@@H](O)C[C@]9([H])C[C@H](O)CC[C@]9(C)[C@@]8([H])CC[C@]67C)=O)=CC=C5,NA,,,,
BA,602,R-PU29WV,MUnCBA,10,7,Ursodeoxycholyl Fluorescein,UDCamF,UDCA,3a_7b,amF,fluoresceine,NA,O=C1OC2(C3=C(OC4=C2C=CC(O)=C4)C=C(O)C=C3)C5=C1C(NC(CC[C@@H](C)[C@H]6CC[C@@]7([H])[C@]8([H])[C@@H](O)C[C@]9([H])C[C@H](O)CC[C@]9(C)[C@@]8([H])CC[C@]67C)=O)=CC=C5,NA,,,,
Amine,891,B02806274,GSFB5,3,1,(4-aminobutyl)(methyl)amine,,NA,,NA,,NA,,,,,,
Amine,892,B02806275,GSFB5,3,2,2-(methylamino)ethan-1-ol,,NA,,NA,,NA,,,,,,
Amine,893,B02806276,GSFB5,3,3,3-(methylamino)propanamide,,NA,,NA,,NA,,,,,,
Amine,894,B02806277,GSFB5,3,4,methyl[3-(methylsulfanyl)propyl]amine,,NA,,NA,,NA,,,,,,
Amine,895,B02806278,GSFB5,3,5,methyl(3-methylbutyl)amine hydrochloride,,NA,,NA,,NA,,,,,,
